"","geslacht","woon","stap_om_1_aantal","stap_om_2_aantal","stap_om_3_aantal","stap_om_4_aantal","stap_om_5_aantal","stap_om_6_aantal","stap_om_7_aantal","stap_om_week_aantal","stap_om_1_10000"
"96","Man","Thuiswonend",5232,6501,5430,7242,3829,4708,6755,39697,FALSE
"97","Vrouw","Uitwonend",4000,1548,1800,4149,1980,2973,4989,21439,FALSE
"98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Vrouw","Uitwonend",17107,10586,11085,6768,16327,3273,7038,72184,TRUE
"107","Vrouw","Uitwonend",17107,10586,11085,6768,16327,3273,7038,72184,TRUE
"108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Vrouw","Thuiswonend",5002,5788,6586,9510,5225,6865,9934,48910,FALSE
"117","Vrouw","Thuiswonend",9061,9820,5146,410,8697,8815,4391,46340,FALSE
"118",NA,NA,9485,6179,11517,5007,935,4334,4807,42264,FALSE
"119","Man","Thuiswonend",9485,6179,11517,5007,935,4334,4807,42264,FALSE
"120","Vrouw","Uitwonend",6290,4786,6892,10372,5937,8936,14039,57252,FALSE
"121","Man","Uitwonend",8260,6451,9015,10312,3412,4956,7935,50341,FALSE
"122","Vrouw","Thuiswonend",0,0,0,0,0,0,0,0,FALSE
"123","Man","Thuiswonend",11487,9963,11537,5215,1668,5928,3711,49509,TRUE
"124","Vrouw","Uitwonend",5925,11048,3191,17565,4688,1689,7256,51362,FALSE
"125","Vrouw","Thuiswonend",8002,4500,0,0,0,0,0,12502,FALSE
"126","Vrouw","Uitwonend",NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Vrouw","Uitwonend",6717,6390,6019,8323,6941,10717,7189,52296,FALSE
"128","Man","Thuiswonend",6605,7647,3817,4595,3210,5187,6235,37296,FALSE
"129","Vrouw","Uitwonend",15082,14061,5166,3351,8459,5734,0,51853,TRUE
