"id","submitdate","lastpage","startlanguage","startdate","datestamp","Nummer","Systeem","StapApp[1_Aantal]","StapApp[2_Aantal]","StapApp[3_Aantal]","StapApp[4_Aantal]","StapApp[5_Aantal]","StapApp[6_Aantal]","StapApp[7_Aantal]","CommentApp[1]","CommentApp[2]","CommentApp[3]","CommentApp[4]","CommentApp[5]","CommentApp[6]","CommentApp[7]","StapOm[1_Aantal]","StapOm[1_Aer]","StapOm[1_Afs]","StapOm[1_Cal]","StapOm[2_Aantal]","StapOm[2_Aer]","StapOm[2_Afs]","StapOm[2_Cal]","StapOm[3_Aantal]","StapOm[3_Aer]","StapOm[3_Afs]","StapOm[3_Cal]","StapOm[4_Aantal]","StapOm[4_Aer]","StapOm[4_Afs]","StapOm[4_Cal]","StapOm[5_Aantal]","StapOm[5_Aer]","StapOm[5_Afs]","StapOm[5_Cal]","StapOm[6_Aantal]","StapOm[6_Aer]","StapOm[6_Afs]","StapOm[6_Cal]","StapOm[7_Aantal]","StapOm[7_Aer]","StapOm[7_Afs]","StapOm[7_Cal]","Dragen[1]","Dragen[2]","Dragen[3]","Dragen[4]","Dragen[5]","Dragen[6]","Dragen[7]","Reden[1]","Reden[2]","Reden[3]","Reden[4]","Reden[5]","Reden[6]","Reden[7]","Locatie[1]","Locatie[2]","Locatie[3]","Locatie[4]","Locatie[5]","Locatie[6]","Locatie[7]","DagZwa2","TijdZwa2[Uur]","TijdZwa2[Min]","DagMat2","TijdMat2[Uur]","TijdMat2[Min]","DagWan2","TijdWan2[Uur]","TijdWan2[Min]","IPAQTOT2","TijdZit2[Uur]","TijdZit2[Min]","interviewtime","groupTime186","NummerTime","groupTime187","SysteemTime","groupTime188","StapAppTime","CommentAppTime","StapOmTime","DragenTime","RedenTime","LocatieTime","groupTime189","DagZwa2Time","TijdZwa2Time","DagMat2Time","TijdMat2Time","DagWan2Time","TijdWan2Time","IPAQTOT2Time","TijdZit2Time"
"126","2019-10-16 12:56:58","4","nl","2019-10-16 12:47:43","2019-10-16 12:56:58","52.0000000000","Omron & app","8893","7802","6069","16008","6977","4523","6826","","","","","Telefoon niet 10 uur bij me gehad","","","7865","2022","5.0","128","8060","0","5.1","169","5964","0","3.8","94","10024","0","6.4","78","14717","1574","9.4","374","4115","0","2.6","67","6105","0","3.9","107","Ja","Ja","Ja","Ja","Ja","Ja","Ja","","","","","","","","broekzak","jaszak","jaszak","broekzak","broekzak","jaszak","broekzak","1.0000000000","1.0000000000","30.0000000000","7.0000000000","6.0000000000","20.0000000000","7.0000000000","","45.0000000000","12399.5","8.0000000000","","555.75","17.98","","7.11","","350.34","","","","","","","180.32","","","","","","","",""
"127","2019-10-16 13:03:43","4","nl","2019-10-16 12:52:54","2019-10-16 13:03:43","41.0000000000","Omron & app","12398","6037","2093","1833","10770","8624","8290","","","","","","","","33","0","0","0","8139","0","6.1","141","6419","1338","4.8","171","138","0","0.1","0","8995","2814","6.7","167","7702","2773","5.7","162","0","0","0","0","Nee","Ja","Ja","Nee","Ja","Ja","Nee","in tas laten zitten","","","ziek in bed","","","thuis laten liggen","","broekzak","broekzak","","broekzak","broekzak","","0.0000000000","","","3.0000000000","1.0000000000","","5.0000000000","0.0000000000","30.0000000000","NAN","6.0000000000","","520.86","6.27","","7.47","","299.79","","","","","","","207.33","","","","","","","",""
"128","2019-10-16 13:09:03","4","nl","2019-10-16 12:54:21","2019-10-16 13:09:03","63.0000000000","Omron & app","4563","7636","8338","5547","500","2755","5577","","","","","","","","4199","0","4.2","124","11562","0","8.6","237","6735","0","5.0","158","6902","0","5.1","96","383","0","0.2","12","3501","0","2.6","75","7164","0","5.3","132","Ja","Ja","Ja","Ja","Nee","Nee","Ja","","","","","vergeten te dragen","ochtend vergeten, avond wel gedragen","","broekrand","broekrand ochtend/sok avond","broekrand","sok ochtend/broekrand avond","","broekrand","ochtend broekrand/ avond sok","3.0000000000","2.0000000000","","5.0000000000","1.0000000000","30.0000000000","4.0000000000","","20.0000000000","4944","9.0000000000","30.0000000000","883.01","35.19","","9.45","","634.99","","","","","","","203.38","","","","","","","",""
"129","2019-10-16 13:12:18","4","nl","2019-10-16 12:59:53","2019-10-16 13:12:18","57.0000000000","Omron & app","5656","7302","4856","3410","1947","6321","5078","","","","","","","","7515","0","5.1","187000","5997","0","4","131000","3901","0","2.6","70000","1449","0","0.9","15000","1153","0","0.7","26000","6447","0","4.3","155000","6103","0","4.1","150000","Ja","Ja","Ja","Ja","Ja","Ja","Ja","","","","","","","","riem/broekrand","riem/broekrand","riem/broekrand","riem/broekrand","riem/broekrand","riem/broekrand","riem/broekrand","0.0000000000","","","1.0000000000","1.0000000000","30.0000000000","3.0000000000","0.0000000000","15.0000000000","NAN","8.0000000000","0.0000000000","745.84","157.76","","7.78","","366.03","","","","","","","214.27","","","","","","","",""
"130","","2","nl","2019-10-16 13:00:54","2019-10-16 13:01:37","58.0000000000","Omron & app","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.78","31.9","","9.88","","","","","","","","","","","","","","","","",""
"131","2019-10-16 13:37:51","4","nl","2019-10-16 13:05:41","2019-10-16 13:37:51","177.0000000000","Omron & app","6053","5505","3669","15015","1417","4335","9108","","Telefoon niet aanwezig tijdens training","","Telefoon niet aanwezig tijdens wedstrijd","","Telefoon niet aanwezig tijdens training","Telefoon niet aanwezig tijdens wedstrijd","5884","0","4.7","170","11863","1164","9.6","324","3771","0","3.0","80","18166","1088","14.7","335","1767","0","1.4","4","8794","0","7.1","194","12994","4686","10.5","379","Ja","Ja","Ja","Ja","Ja","Ja","Ja","","","","","","","","Broekrand","Broekrand, tijdens training in sok","Broekrand","Broekrand, tijdens wedstrijd in sok","Broekrand","Broekrand, tijdens training in sok","Broekrand, tijdens wedstrijd in sok","4.0000000000","8.0000000000","45.0000000000","2.0000000000","1.0000000000","0.0000000000","3.0000000000","0.0000000000","50.0000000000","17775","24.0000000000","0.0000000000","1931.84","8.34","","28.15","","306.55","","","","","","","1588.8","","","","","","","",""
"132","2019-10-16 13:36:55","4","nl","2019-10-16 13:23:32","2019-10-16 13:36:55","171.0000000000","Omron & app","6856","9254","6505","7699","1406","5173","7377","","","","","","","","8238","0","6.1","145","11563","0","8.6","277","5441","0","4.0","68","4342","0","3.2","41","1410","0","1.0","1","5325","0","3.9","74","9568","2628","7.1","236","Ja","Ja","Ja","Ja","Ja","Ja","Ja","","","","","","","","Broekzak","Broekzak","Broekzak","Broekzak en bij enkel","Broekzak","Broekzak","Broekzak en aan hardloopschoen","4.0000000000","1.0000000000","30.0000000000","5.0000000000","2.0000000000","","6.0000000000","1.0000000000","40.0000000000","7260","9.0000000000","30.0000000000","804.42","132.38","","6.49","","346.43","","","","","","","319.12","","","","","","","",""
"133","2019-10-16 13:52:53","4","nl","2019-10-16 13:47:27","2019-10-16 13:52:53","161.0000000000","Omron & app","1620","4451","2580","2380","348","5446","6732","Pas aangezet rond 13:00","","","","","","","2607","0","2.0","62","4198","0","3.2","103","2799","0","2.1","57","2010","0","1.5","54","618","0","0.4","0","4782","0","3.7","137","5908","0","4.8","169","Nee","Ja","Ja","Ja","Ja","Ja","Ja","'s ochtends vergeten om te doen. Rond 13:00 omgedaan (wel bijna 10 uur dus)","","","","","","","broekrand","broekrand","in zak lang vest","broekrand","broekrand","broekrand","broekrand","0.0000000000","","","1.0000000000","0.0000000000","30.0000000000","2.0000000000","0.0000000000","20.0000000000","NAN","13.0000000000","0.0000000000","326.3","6.09","","4.65","","199.63","","","","","","","115.93","","","","","","","",""
"134","2019-10-16 13:55:58","4","nl","2019-10-16 13:49:28","2019-10-16 13:55:58","174.0000000000","Omron","","","","","","","","","","","","","","","5733","0","4.9","70","4824","0","4.1","44","3017","0","2.6","19","8297","2175","7.2","124","615","0","0.5","11","5458","0","4.7","40","3560","0","3.0","44","Ja","Ja","Ja","Ja","Nee","Ja","Ja","","","","","Omron vergeten mee te nemen toen ik zo'n 7,0 km ging wandelen","","","broekzak","broekzak","broekzak","broekzak","broekzak","broekzak","broekzak","1.0000000000","1.0000000000","30.0000000000","5.0000000000","1.0000000000","20.0000000000","7.0000000000","1.0000000000","30.0000000000","4399","9.0000000000","","392.31","6.09","","12.93","","257.95","","","","","","","115.34","","","","","","","",""
"135","2019-10-16 14:06:57","4","nl","2019-10-16 13:57:52","2019-10-16 14:06:57","165.0000000000","Omron & app","10088","8826","2928","12748","3912","6195","9484","","","","","","","","8046","1088","6.2","233","9414","2087","7.3","251","14032","0","10.9","400","10776","0","8.4","297","4707","1036","3.6","95","6995","1280","5.4","160","11082","2248","8.6","320","Ja","Ja","Ja","Ja","Ja","Ja","Ja","","","","","","","","broekzak","broekzak","broekzak","broekzak","broekzak","broekzak","broekzak","0.0000000000","","","5.0000000000","1.0000000000","0.0000000000","5.0000000000","0.0000000000","30.0000000000","NAN","6.0000000000","","545.34","49.73","","7.3","","389.3","","","","","","","99.01","","","","","","","",""
